dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 05:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 06:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 07:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 08:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 09:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 10:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 11:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 12:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 13:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 14:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 17:30,1.333,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 18:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 19:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 20:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 21:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 22:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-09 23:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-10 00:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-10 01:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-10 02:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-10 03:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,5,CO,Monóxido de Carbono,2026-02-10 04:30,1.778,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 05:30,7.2,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 06:30,8.8,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 07:30,8.8,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 08:30,9.6,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 09:30,9.6,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 10:30,8.8,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 11:30,8.8,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 12:30,8.8,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 13:30,8.8,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 14:30,8.8,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 15:30,8.8,Boa,True
2026-02-10,,3118007,31,MG,lobo_leite,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-09 16:30,8.8,Boa,True
