dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-08 19:00,13.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-08 20:00,13.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-08 21:00,13.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-08 22:00,12.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 00:00,12.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 01:00,12.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 02:00,13.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 03:00,13.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 04:00,14.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 05:00,14.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 06:00,15.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 07:00,14.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 08:00,14.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 09:00,14.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 10:00,13.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 11:00,13.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 12:00,12.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 13:00,12.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 14:00,12.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 15:00,13.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 16:00,12.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 17:00,12.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 18:00,12.0,Boa,True
2025-10-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-10-09 19:00,11.0,Boa,True
