dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-08 19:00,16.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-08 20:00,16.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-08 21:00,16.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-08 22:00,15.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 00:00,13.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 01:00,12.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 02:00,12.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 03:00,12.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 04:00,11.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 05:00,11.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 06:00,11.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 07:00,11.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 08:00,11.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 09:00,12.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 10:00,12.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 11:00,12.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 12:00,12.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 13:00,13.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 14:00,14.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 15:00,16.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 16:00,17.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 17:00,18.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 18:00,18.0,Boa,True
2025-10-09,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-10-09 19:00,18.0,Boa,True
