dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-09-28,,3550308,35,SP,pinheiros,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-28 00:00,14.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-28 01:00,15.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-28 02:00,16.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-28 03:00,17.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-28 04:00,17.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-28 05:00,17.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-28 06:00,17.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-28 07:00,17.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 07:00,12.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 08:00,12.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 09:00,12.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 10:00,12.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 11:00,13.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 12:00,14.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 13:00,16.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 14:00,19.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 15:00,22.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 16:00,24.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 17:00,25.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 18:00,25.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 19:00,25.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 21:00,22.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 22:00,18.0,Boa,True
2025-09-28,,3550308,35,SP,pinheiros,,,,20,O₃,Ozônio,2025-09-27 23:00,15.0,Boa,True
