dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-11 18:30,26.4,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-11 19:30,25.6,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-11 20:30,25.6,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-11 21:30,24.8,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-11 22:30,24.8,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-11 23:30,24.8,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 00:30,24.0,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 01:30,24.0,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 02:30,23.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 03:30,22.4,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 04:30,22.4,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 05:30,21.6,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 06:30,21.6,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 07:30,20.8,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 08:30,20.8,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 09:30,16.8,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 10:30,16.0,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 11:30,16.0,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 12:30,15.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 13:30,15.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 14:30,15.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 15:30,14.4,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 16:30,14.4,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-12 17:30,13.6,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-11 18:30,20.8,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-11 19:30,20.8,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-11 20:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-11 21:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-11 22:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-11 23:30,20.8,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 00:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 01:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 02:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 03:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 04:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 05:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 06:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 07:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 08:30,19.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 09:30,12.8,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 10:30,11.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 11:30,11.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 12:30,11.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 13:30,11.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 14:30,11.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 15:30,11.2,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 16:30,9.6,Boa,True
2025-08-12,,3117504,31,MG,sapo,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 17:30,9.6,Boa,True
