dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-08-17,,3529401,35,SP,maua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-17 12:00,14.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-17 13:00,13.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-16 11:00,13.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-16 12:00,13.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-16 13:00,12.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-16 14:00,12.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-17 08:00,13.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-17 09:00,14.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-17 10:00,14.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-17 11:00,14.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 03:00,17.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 04:00,17.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 05:00,17.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 06:00,18.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 07:00,17.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 15:00,21.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 16:00,22.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 17:00,22.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 18:00,22.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 19:00,21.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 20:00,21.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-16 21:00,20.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-17 06:00,16.0,Boa,True
2025-08-17,,3529401,35,SP,maua,,,,20,O₃,Ozônio,2025-08-17 07:00,16.0,Boa,True
