dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 07:30,0.444,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 08:30,0.444,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 09:30,0.444,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 10:30,0.444,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 11:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 12:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 13:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 14:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 15:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 16:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 17:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 18:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 19:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 20:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 21:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 22:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-20 23:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-21 00:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-21 01:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-21 02:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-21 03:30,0.889,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-21 04:30,0.444,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-21 05:30,0.444,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,5,CO,Monóxido de Carbono,2025-12-21 06:30,0.444,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 07:30,11.2,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 08:30,12.0,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 09:30,12.0,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 10:30,12.8,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 11:30,12.8,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 12:30,12.8,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 13:30,12.8,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 14:30,12.8,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 15:30,12.8,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 16:30,12.8,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 17:30,12.8,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 18:30,12.0,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 19:30,11.2,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 20:30,10.4,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 21:30,10.4,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-20 23:30,10.4,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-21 00:30,9.6,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-21 01:30,9.6,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-21 03:30,8.8,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-21 04:30,8.8,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-21 06:30,9.6,Boa,True
2025-12-21,,3131307,31,MG,veneza,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-20 08:30,,,True
2025-12-21,,3131307,31,MG,veneza,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-20 09:30,,,True
2025-12-21,,3131307,31,MG,veneza,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-20 10:30,,,True
2025-12-21,,3131307,31,MG,veneza,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-20 11:30,,,True
2025-12-21,,3131307,31,MG,veneza,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-20 14:30,,,True
2025-12-21,,3131307,31,MG,veneza,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-20 15:30,,,True
2025-12-21,,3131307,31,MG,veneza,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-20 16:30,,,True
2025-12-21,,3131307,31,MG,veneza,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-20 19:30,,,True
2025-12-21,,3131307,31,MG,veneza,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-20 20:30,,,True
2025-12-21,,3131307,31,MG,veneza,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-21 05:30,,,True
