dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 18:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 19:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 20:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 21:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 22:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 23:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 00:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 01:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 02:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 03:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 04:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 05:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 06:30,4.0,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 07:30,4.0,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 08:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 09:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 10:30,4.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 11:30,5.6,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 12:30,5.6,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 13:30,7.2,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 14:30,8.0,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 15:30,8.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 16:30,8.8,Boa,True
2026-01-31,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 17:30,9.6,Boa,True
