dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 18:30,14.4,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 19:30,14.4,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 20:30,14.4,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 21:30,13.6,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 22:30,13.6,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-30 23:30,12.8,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 00:30,12.0,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 01:30,12.8,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 02:30,12.0,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 03:30,12.0,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 04:30,12.8,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 05:30,12.0,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 06:30,12.0,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 07:30,11.2,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 08:30,11.2,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 09:30,11.2,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 10:30,10.4,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 11:30,10.4,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 12:30,10.4,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 13:30,10.4,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 14:30,10.4,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 15:30,10.4,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 16:30,10.4,Boa,True
2026-01-31,,3147006,31,MG,copasa,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-31 17:30,10.4,Boa,True
