dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 07:00,0.889,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 08:00,0.889,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 09:00,0.889,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 10:00,0.889,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 11:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 12:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 13:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 14:00,1.778,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 15:00,1.778,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 16:00,1.778,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 17:00,1.778,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 18:00,1.778,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 19:00,1.778,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 20:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 21:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 22:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-22 23:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-23 00:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-23 01:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-23 02:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-23 03:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-23 04:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-23 05:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-09-23 06:00,1.333,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-22 07:00,28.8,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-22 08:00,29.6,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-22 09:00,29.6,Boa,True
2025-09-23,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-09-22 10:00,29.6,Boa,True
