dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 07:00,25.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 08:00,24.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 09:00,24.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 10:00,25.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 11:00,25.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 12:00,26.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 13:00,27.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 14:00,28.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 15:00,29.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 16:00,30.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 17:00,31.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 18:00,33.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 19:00,33.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 20:00,33.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 21:00,32.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-18 22:00,31.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-19 00:00,29.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-19 01:00,27.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-19 02:00,22.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-19 03:00,22.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-19 04:00,21.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-19 05:00,21.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-19 06:00,20.0,Boa,True
2026-02-19,,3529005,35,SP,marilia,,,,20,O₃,Ozônio,2026-02-19 07:00,20.0,Boa,True
