dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 09:00,15.2,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 10:00,13.6,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 11:00,14.4,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 12:00,14.4,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 13:00,14.4,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 14:00,16.0,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 15:00,16.0,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 16:00,16.8,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 17:00,17.6,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 18:00,17.6,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 19:00,18.4,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 20:00,19.2,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 21:00,20.8,Boa,True
2025-12-12,,3304557,33,RJ,pedra_de_guaratiba,32.0,,1.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-11 22:00,20.8,Boa,True
