dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 05:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 06:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 07:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 08:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 09:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 10:30,12.0,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 11:30,12.0,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 12:30,12.0,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 13:30,12.0,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 14:30,12.0,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 15:30,12.0,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 16:30,12.0,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 17:30,12.0,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 18:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 19:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 20:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 21:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 22:30,13.6,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-12 23:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-13 01:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-13 02:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-13 04:30,12.8,Boa,True
2025-11-13,,3117504,31,MG,corregos,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-13 05:30,12.8,Boa,True
