dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-21 19:00,2.222,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-21 20:00,2.222,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-21 21:00,2.222,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-21 22:00,2.222,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-21 23:00,2.222,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 00:00,1.778,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 01:00,1.778,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 02:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 03:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 04:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 05:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 06:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 07:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 08:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 09:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 10:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 11:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 12:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 13:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 14:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 15:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 16:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 17:00,1.333,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,5,CO,Monóxido de Carbono,2025-08-22 18:00,1.778,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-21 19:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-21 20:00,20.8,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-21 21:00,20.0,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-21 22:00,19.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-21 23:00,19.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 00:00,18.4,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 01:00,18.4,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 02:00,19.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 03:00,20.0,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 04:00,21.6,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 05:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 06:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 07:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 08:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 09:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 10:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 11:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 12:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 13:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 14:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 15:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 16:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 17:00,23.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-22 18:00,24.0,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 20:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 21:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 22:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 23:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 01:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 02:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 03:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 04:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 05:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 06:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 07:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 08:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 09:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 10:00,,,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 11:00,19.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 12:00,19.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 13:00,19.2,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 14:00,17.6,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 15:00,17.6,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 16:00,17.6,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 17:00,17.6,Boa,True
2025-08-22,,3129806,31,MG,cascata,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 18:00,17.6,Boa,True
