dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-26 08:00,31.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-26 09:00,31.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-26 10:00,30.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-26 11:00,30.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-26 12:00,28.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-26 13:00,28.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-26 14:00,25.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-26 15:00,24.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-26 23:00,19.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-27 00:00,20.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-27 01:00,22.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-27 02:00,22.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-27 03:00,22.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-27 04:00,24.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-27 05:00,24.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-27 06:00,25.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-27 07:00,25.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,20,O₃,Ozônio,2025-07-26 16:00,24.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,20,O₃,Ozônio,2025-07-26 17:00,27.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,20,O₃,Ozônio,2025-07-26 18:00,29.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,20,O₃,Ozônio,2025-07-26 19:00,29.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,20,O₃,Ozônio,2025-07-26 20:00,26.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,20,O₃,Ozônio,2025-07-26 21:00,22.0,Boa,True
2025-07-27,,3525904,35,SP,jundiai,,,,20,O₃,Ozônio,2025-07-26 22:00,18.0,Boa,True
