dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 11:00,12.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 12:00,16.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 13:00,21.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 14:00,27.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 15:00,34.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 16:00,39.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 17:00,47.0,Moderada,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 18:00,53.0,Moderada,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 19:00,55.0,Moderada,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 20:00,49.0,Moderada,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 21:00,40.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 22:00,35.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-26 23:00,31.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-27 00:00,27.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-27 01:00,23.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-27 02:00,20.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-27 03:00,18.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-27 04:00,17.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-27 05:00,16.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-27 06:00,15.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,20,O₃,Ozônio,2025-11-27 07:00,14.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-26 08:00,11.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-26 09:00,11.0,Boa,True
2025-11-27,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-11-26 10:00,11.0,Boa,True
