dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-05 22:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-05 23:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 00:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 01:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 02:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 03:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 05:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 06:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 07:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 08:30,1.778,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 09:30,1.778,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 10:30,1.778,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 11:30,1.778,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 12:30,1.778,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 13:30,1.778,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 14:30,1.778,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 15:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 16:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 17:30,0.889,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 18:30,0.889,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 19:30,1.333,Boa,True
2026-02-07,,3131307,31,MG,cidade_nobre,,,,5,CO,Monóxido de Carbono,2026-02-06 20:30,1.333,Boa,True
