dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,20,O₃,Ozônio,2026-02-16 19:00,109.0,Ruim,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,20,O₃,Ozônio,2026-02-16 20:00,104.0,Ruim,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,20,O₃,Ozônio,2026-02-16 21:00,92.0,Ruim,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,20,O₃,Ozônio,2026-02-16 22:00,70.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,20,O₃,Ozônio,2026-02-17 16:00,59.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,20,O₃,Ozônio,2026-02-17 17:00,70.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,20,O₃,Ozônio,2026-02-17 18:00,83.0,Ruim,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,20,O₃,Ozônio,2026-02-17 19:00,88.0,Ruim,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 00:00,44.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 01:00,45.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 02:00,45.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 03:00,47.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 04:00,47.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 05:00,48.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 06:00,49.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 07:00,49.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 08:00,49.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 09:00,49.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 10:00,48.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 11:00,49.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 12:00,49.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 13:00,49.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 14:00,49.0,Moderada,True
2026-02-17,,3548708,35,SP,s.bernardo-centro,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-17 15:00,49.0,Moderada,True
