dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-07 18:30,19.2,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-07 19:30,19.2,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-07 20:30,20.0,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-07 21:30,20.0,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-07 22:30,19.2,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-07 23:30,16.8,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 00:30,15.2,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 01:30,13.6,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 02:30,12.8,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 03:30,13.6,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 04:30,14.4,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 05:30,15.2,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 06:30,16.8,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 07:30,16.8,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 08:30,17.6,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 09:30,18.4,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 10:30,19.2,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 11:30,20.8,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 12:30,21.6,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 13:30,21.6,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 14:30,22.4,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 15:30,22.4,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 16:30,22.4,Boa,True
2025-12-08,,3118007,31,MG,_pires,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-08 17:30,23.2,Boa,True
