dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 08:00,27.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 09:00,27.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 10:00,27.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 11:00,28.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 12:00,28.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 13:00,28.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 14:00,28.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 15:00,28.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 16:00,28.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 17:00,28.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 22:00,26.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-26 23:00,26.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-27 00:00,25.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-27 01:00,25.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-27 02:00,25.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-27 03:00,24.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-27 04:00,23.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-27 05:00,23.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-27 06:00,22.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-27 07:00,22.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,20,O₃,Ozônio,2025-10-26 18:00,29.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,20,O₃,Ozônio,2025-10-26 19:00,29.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,20,O₃,Ozônio,2025-10-26 20:00,28.0,Boa,True
2025-10-27,,3536505,35,SP,paulinia,,,,20,O₃,Ozônio,2025-10-26 21:00,27.0,Boa,True
