dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-16 20:00,41.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-16 21:00,40.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-16 22:00,39.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-16 23:00,40.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 00:00,39.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 01:00,38.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 02:00,38.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 03:00,37.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 04:00,37.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 05:00,38.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 06:00,39.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 07:00,40.0,Boa,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 08:00,41.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 09:00,42.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 10:00,43.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 11:00,45.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 12:00,46.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 13:00,47.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 14:00,47.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 15:00,48.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 16:00,48.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 17:00,48.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 18:00,48.0,Moderada,True
2025-07-17,,3538709,35,SP,piracicaba,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-17 19:00,49.0,Moderada,True
