dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-21 07:00,21.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-21 08:00,24.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-21 09:00,24.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-21 10:00,24.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-21 11:00,24.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-21 12:00,24.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-21 13:00,24.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-21 14:00,27.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-21 21:00,27.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-21 22:00,27.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-22 00:00,27.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-22 01:00,27.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-22 02:00,27.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-22 03:00,27.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-22 04:00,29.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-22 05:00,29.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-22 06:00,29.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-03-22 07:00,29.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,20,O₃,Ozônio,2026-03-21 15:00,25.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,20,O₃,Ozônio,2026-03-21 16:00,29.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,20,O₃,Ozônio,2026-03-21 17:00,31.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,20,O₃,Ozônio,2026-03-21 18:00,33.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,20,O₃,Ozônio,2026-03-21 19:00,32.0,Boa,True
2026-03-22,,3543402,35,SP,ribeirao_preto,,,,20,O₃,Ozônio,2026-03-21 20:00,28.0,Boa,True
