dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 07:00,30.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 08:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 09:00,28.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 10:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 11:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 12:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 13:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 14:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 15:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 16:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 17:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 18:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 19:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 20:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 21:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-14 22:00,30.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-15 00:00,33.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-15 01:00,33.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-15 02:00,33.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-15 03:00,33.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-15 04:00,32.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-15 05:00,31.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-15 06:00,29.0,Boa,True
2026-04-15,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-15 07:00,28.0,Boa,True
