dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 01:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 02:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 06:00,8.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 07:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 08:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 09:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 10:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 11:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 12:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 13:00,13.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 14:00,13.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 15:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 16:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-22 19:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,20,O₃,Ozônio,2026-01-21 19:00,15.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,20,O₃,Ozônio,2026-01-21 20:00,15.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,20,O₃,Ozônio,2026-01-21 21:00,14.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,20,O₃,Ozônio,2026-01-21 22:00,13.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,20,O₃,Ozônio,2026-01-22 00:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,20,O₃,Ozônio,2026-01-22 03:00,9.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,20,O₃,Ozônio,2026-01-22 04:00,9.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,20,O₃,Ozônio,2026-01-22 05:00,8.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,20,O₃,Ozônio,2026-01-22 17:00,11.0,Boa,True
2026-01-22,,3510609,35,SP,carapicuiba,,,,20,O₃,Ozônio,2026-01-22 18:00,11.0,Boa,True
