dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-07 20:00,3.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-07 21:00,3.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-07 22:00,3.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-07 23:00,2.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 00:00,2.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 01:00,2.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 02:00,2.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 03:00,2.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 04:00,1.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 05:00,1.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 06:00,1.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 07:00,1.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 08:00,1.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 09:00,2.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 10:00,2.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 11:00,2.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 12:00,3.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 13:00,3.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 14:00,3.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 15:00,3.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 16:00,3.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 17:00,3.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 18:00,3.0,Boa,True
2025-10-08,,3509502,35,SP,campinas-centro,,,,5,CO,Monóxido de Carbono,2025-10-08 19:00,3.0,Boa,True
