dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2026-04-08 19:00,27.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2026-04-08 20:00,26.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2026-04-08 21:00,25.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2026-04-08 22:00,23.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2026-04-09 00:00,19.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2026-04-09 01:00,16.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2026-04-09 02:00,14.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2026-04-09 19:00,16.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 03:00,13.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 04:00,13.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 05:00,16.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 06:00,13.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 07:00,13.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 08:00,13.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 09:00,13.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 10:00,16.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 11:00,16.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 12:00,16.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 13:00,16.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 14:00,16.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 15:00,16.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 16:00,16.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 17:00,19.0,Boa,True
2026-04-09,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-09 18:00,19.0,Boa,True
