dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 09:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 10:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 11:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 12:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 13:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 14:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 15:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 16:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 17:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 18:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 19:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 20:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 21:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 22:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-27 23:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-28 00:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-28 01:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-28 02:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-28 03:00,2.0,Boa,True
2026-03-28,,4101804,41,PR,repar,,,,5,CO,Monóxido de Carbono,2026-03-28 04:00,2.0,Boa,True
