dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 01:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 02:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 03:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 04:00,38.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 05:00,38.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 06:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 07:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 08:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 09:00,40.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 10:00,40.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 11:00,40.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 12:00,40.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 13:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 14:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 15:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 16:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 17:00,39.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 18:00,38.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 19:00,38.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 20:00,37.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 21:00,36.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-25 22:00,36.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-26 06:00,35.0,Boa,True
2026-04-26,,3503208,35,SP,araraquara,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-04-26 07:00,35.0,Boa,True
