dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 06:30,34.4,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 07:30,32.0,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 08:30,33.6,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 09:30,32.8,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 10:30,32.0,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 11:30,31.2,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 12:30,30.4,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 13:30,31.2,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 14:30,32.0,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 15:30,26.4,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 16:30,25.6,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 17:30,28.0,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 18:30,28.0,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 19:30,28.8,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 20:30,29.6,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 21:30,29.6,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 22:30,29.6,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-13 23:30,30.4,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-14 00:30,30.4,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-14 01:30,30.4,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-14 02:30,30.4,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-14 03:30,30.4,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-14 04:30,31.2,Boa,True
2025-08-14,,3146107,31,MG,_motas,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-08-14 05:30,32.0,Boa,True
